dataset,reducer,classifier,n_components,accuracy
mnist,PCA,knn,10,0.908047619047619
mnist,PCA,knn,20,0.945047619047619
mnist,PCA,knn,50,0.9563809523809523
mnist,PCA,knn,100,0.9558571428571428
mnist,PCA,knn,200,0.952
mnist,PCA,knn,300,0.9473809523809524
mnist,PCA,logreg,10,0.7989047619047619
mnist,PCA,logreg,20,0.865904761904762
mnist,PCA,logreg,50,0.9002857142857142
mnist,PCA,logreg,100,0.9124285714285715
mnist,PCA,logreg,200,0.9182857142857143
mnist,PCA,logreg,300,0.9195238095238095
mnist,LDA,knn,1,0.365952380952381
mnist,LDA,knn,2,0.5248571428571429
mnist,LDA,knn,3,0.72
mnist,LDA,knn,4,0.8123809523809524
mnist,LDA,knn,5,0.8325238095238096
mnist,LDA,knn,6,0.8615238095238095
mnist,LDA,knn,7,0.8867619047619048
mnist,LDA,knn,8,0.9042857142857142
mnist,LDA,knn,9,0.9132857142857143
mnist,LDA,logreg,1,0.4114285714285714
mnist,LDA,logreg,2,0.5425238095238095
mnist,LDA,logreg,3,0.7319523809523809
mnist,LDA,logreg,4,0.8132857142857143
mnist,LDA,logreg,5,0.8271904761904761
mnist,LDA,logreg,6,0.8437142857142857
mnist,LDA,logreg,7,0.8617619047619047
mnist,LDA,logreg,8,0.8796190476190476
mnist,LDA,logreg,9,0.8824761904761905
